Rotation,Scale,name_of_to,district,state,ELEVATION,Lat,Long
0,0.000000000000000,LACHHMANGARH,SIKAR,RAJASTHAN,0,27.8197994,74.9652023
0,0.000000000000000,SHEKAWAS,SIKAR,RAJASTHAN,0,27.8679008,74.8648987
0,0.000000000000000,HARSAWA,SIKAR,RAJASTHAN,0,27.9204006,74.9671021
0,0.000000000000000,MUKANDGARH,JHUNJHUNUN,RAJASTHAN,0,27.9535999,75.2270966
0,0.000000000000000,DUMRA,JHUNJHUNUN,RAJASTHAN,0,27.9654007,75.3156967
0,0.000000000000000,KAU,JHUNJHUNUN,RAJASTHAN,0,27.9568005,75.5759964
0,0.000000000000000,GANWARI,SIKAR,RAJASTHAN,0,27.7105007,75.8257980
0,0.000000000000000,RAIPUR,SIKAR,RAJASTHAN,0,27.7416992,75.9535980
0,0.000000000000000,PATAN,SIKAR,RAJASTHAN,0,27.7994995,75.9784012
0,0.000000000000000,DIPAS,SIKAR,RAJASTHAN,0,27.6200008,75.8898010
0,0.000000000000000,HATHIDA,SIKAR,RAJASTHAN,0,27.5298996,75.8692017
0,0.000000000000000,DANTIL,JAIPUR,RAJASTHAN,0,27.6655998,76.0102005
0,0.000000000000000,HASAMPUR,SIKAR,RAJASTHAN,0,27.7700996,76.0300980
0,0.000000000000000,BASAI,JHUNJHUNUN,RAJASTHAN,0,27.9636993,75.9652023
0,0.000000000000000,CHHAWANI,SIKAR,RAJASTHAN,0,27.7504005,75.8094025
0,0.000000000000000,AMARSAR,JAIPUR,RAJASTHAN,0,27.3736992,75.8267975
0,0.000000000000000,GHATWARI,JAIPUR,RAJASTHAN,0,27.2635994,76.0263977
0,0.000000000000000,RINGAS,SIKAR,RAJASTHAN,0,27.3642006,75.5674973
0,0.000000000000000,CHANDWAJI,JAIPUR,RAJASTHAN,0,27.2171001,75.9433975
0,0.000000000000000,CHOMUN,JAIPUR,RAJASTHAN,0,27.1737003,75.7158966
0,0.000000000000000,HASTERA,JAIPUR,RAJASTHAN,0,27.2339993,75.5383987
0,0.000000000000000,KALADERA,JAIPUR,RAJASTHAN,0,27.1900005,75.6210022
0,0.000000000000000,JAITPUR,BIKANER,RAJASTHAN,0,28.8717003,74.0711975
0,0.000000000000000,BARASAR,HANUMANGARH,RAJASTHAN,0,28.8654995,74.2659988
0,0.000000000000000,DHANSIA,HANUMANGARH,RAJASTHAN,0,28.8596992,74.5155029
0,0.000000000000000,PANDUSAR,HANUMANGARH,RAJASTHAN,0,28.8649998,74.6517029
0,0.000000000000000,RATUSAR,CHURU,RAJASTHAN,0,28.7749996,74.5764008
0,0.000000000000000,SAWAR,CHURU,RAJASTHAN,0,28.7656002,74.3386993
0,0.000000000000000,BILYUNTAMPURA,CHURU,RAJASTHAN,0,28.7383003,74.6566010
0,0.000000000000000,REDI,CHURU,RAJASTHAN,0,28.7481003,74.8628006
0,0.000000000000000,SAHAWA,CHURU,RAJASTHAN,0,28.8792992,74.8350983
0,0.000000000000000,HARDASAR,CHURU,RAJASTHAN,0,28.6508007,74.3719025
0,0.000000000000000,KOHINA,CHURU,RAJASTHAN,0,28.6601009,74.7683029
0,0.000000000000000,DHIRWAS,CHURU,RAJASTHAN,0,28.8402996,74.9017029
0,0.000000000000000,DHANI PANCHERAN,CHURU,RAJASTHAN,0,28.5655994,74.5951004
0,0.000000000000000,RAJWAS,CHURU,RAJASTHAN,0,28.5709991,74.7205963
0,0.000000000000000,KHEJRA,CHURU,RAJASTHAN,0,28.6208000,74.5266037
0,0.000000000000000,NARSARA,CHURU,RAJASTHAN,0,28.5541992,74.2296982
0,0.000000000000000,RAJASAR CHODIYA,CHURU,RAJASTHAN,0,28.6236992,74.2245026
0,0.000000000000000,GARABDESAR,BIKANER,RAJASTHAN,0,28.4396992,74.0120010
0,0.000000000000000,GHARSISAR,CHURU,RAJASTHAN,0,28.4116001,74.1973038
0,0.000000000000000,PATAMDESAR,CHURU,RAJASTHAN,0,28.3586006,74.1771011
0,0.000000000000000,BANDHANAU,CHURU,RAJASTHAN,0,28.3463993,74.3776016
0,0.000000000000000,BHADASAR,CHURU,RAJASTHAN,0,28.2950001,74.3049011
0,0.000000000000000,UDRASAR,CHURU,RAJASTHAN,0,28.2749996,74.0846024
0,0.000000000000000,NAKRASAR,CHURU,RAJASTHAN,0,28.3036003,74.7210007
0,0.000000000000000,DIDHWA,CHURU,RAJASTHAN,0,28.3367996,74.8186035
0,0.000000000000000,PULASAR,CHURU,RAJASTHAN,0,28.4139996,74.6100006
0,0.000000000000000,SARDARAHAHR,CHURU,RAJASTHAN,0,28.4372997,74.4859009
0,0.000000000000000,MUMMASAR,CHURU,RAJASTHAN,0,28.2140999,74.2883987
0,0.000000000000000,MALASAR,CHURU,RAJASTHAN,0,28.2133007,74.5819016
